kecamatan_code,kecamatan_name,year,population_field_value
33.74.01,Synthetic District 1,2020,116995
33.74.01,Synthetic District 1,2021,118203
33.74.01,Synthetic District 1,2022,119347
33.74.01,Synthetic District 1,2023,121807
33.74.02,Synthetic District 2,2020,83529
33.74.02,Synthetic District 2,2021,84057
33.74.02,Synthetic District 2,2022,85473
33.74.02,Synthetic District 2,2023,88251
33.74.03,Synthetic District 3,2020,55644
33.74.03,Synthetic District 3,2021,56849
33.74.03,Synthetic District 3,2022,57008
33.74.03,Synthetic District 3,2023,58320
33.74.04,Synthetic District 4,2020,91012
33.74.04,Synthetic District 4,2021,91653
33.74.04,Synthetic District 4,2022,93742
33.74.04,Synthetic District 4,2023,95131
33.74.05,Synthetic District 5,2020,62726
33.74.05,Synthetic District 5,2021,63543
33.74.05,Synthetic District 5,2022,65440
33.74.05,Synthetic District 5,2023,67073
33.74.06,Synthetic District 6,2020,102254
33.74.06,Synthetic District 6,2021,103753
33.74.06,Synthetic District 6,2022,104086
33.74.06,Synthetic District 6,2023,104174
