year,month,humidity,temperature_c,rainfall_mm
2020,1,74.91,27.27,206.27
2020,2,80.82,27.38,174.42
2020,3,81.31,29.08,248.69
2020,4,79.44,30.12,287.22
2020,5,81.13,30.09,265.64
2020,6,75.42,29.01,186.44
2020,7,76.64,27.97,173.53
2020,8,67.96,28.11,134.59
2020,9,65.79,26.45,129.35
2020,10,67.1,26.79,115.08
2020,11,73.5,26.42,92.79
2020,12,67.56,27.68,179.51
2021,1,73.66,27.41,151.14
2021,2,79.95,29.27,239.01
2021,3,78.93,29.46,253.37
2021,4,82.66,30.11,267.83
2021,5,82.96,29.35,259.4
2021,6,79.89,27.73,208.81
2021,7,72.59,27.55,170.37
2021,8,74.48,26.64,173.89
2021,9,62.02,26.47,116.41
2021,10,67.76,27.0,127.77
2021,11,66.03,26.38,140.75
2021,12,69.43,26.36,100.33
2022,1,71.24,28.35,184.98
2022,2,80.07,28.45,225.55
2022,3,82.8,29.08,265.27
2022,4,80.01,29.25,246.64
2022,5,77.34,29.64,232.85
2022,6,78.04,29.09,235.63
2022,7,76.0,27.93,165.18
2022,8,69.76,26.07,89.35
2022,9,63.1,26.0,124.71
2022,10,63.28,26.24,145.47
2022,11,66.0,27.22,78.04
2022,12,69.38,26.58,128.13
2023,1,76.52,26.79,195.2
2023,2,78.71,28.33,169.39
2023,3,81.14,28.93,257.43
2023,4,82.07,30.62,251.62
2023,5,77.86,29.42,256.98
2023,6,82.08,29.33,232.49
2023,7,78.39,27.17,157.61
2023,8,67.22,26.98,91.82
2023,9,68.98,26.55,59.24
2023,10,62.95,26.72,129.33
2023,11,73.06,28.74,125.22
2023,12,67.03,25.76,149.37
